tract,state,county,pop_total,pop_white,pop_black,pop_hispanic
981100,36,059,1115.0,640.0,165.0,183.0
990302,36,059,0.0,0.0,0.0,0.0
990200,36,059,0.0,0.0,0.0,0.0
522700,36,059,4737.0,4521.0,3.0,120.0
416402,36,059,3110.0,2624.0,140.0,293.0
990400,36,059,0.0,0.0,0.0,0.0
982100,36,059,1366.0,661.0,271.0,182.0
980100,36,059,1012.0,682.0,65.0,108.0
416401,36,059,4283.0,3812.0,32.0,324.0
416801,36,059,2077.0,1755.0,87.0,165.0
416802,36,059,3754.0,3117.0,0.0,594.0
990100,36,059,0.0,0.0,0.0,0.0
521902,36,059,4183.0,3991.0,2.0,155.0
990301,36,059,0.0,0.0,0.0,0.0
304203,36,059,5715.0,103.0,2930.0,2668.0
304204,36,059,5063.0,147.0,1671.0,3091.0
406701,36,059,2813.0,398.0,809.0,1445.0
521302,36,059,5526.0,4854.0,0.0,531.0
521500,36,059,5032.0,4431.0,0.0,339.0
406702,36,059,4529.0,856.0,2261.0,1280.0
406801,36,059,5145.0,185.0,1699.0,3054.0
406802,36,059,4531.0,60.0,1210.0,3243.0
407203,36,059,3294.0,201.0,1757.0,1081.0
407204,36,059,2754.0,256.0,1416.0,890.0
414303,36,059,4879.0,1681.0,1224.0,1862.0
414304,36,059,3183.0,756.0,758.0,1614.0
518203,36,059,4418.0,3450.0,123.0,150.0
519704,36,059,3096.0,2249.0,0.0,157.0
520100,36,059,5522.0,4990.0,5.0,109.0
521602,36,059,3250.0,2948.0,0.0,143.0
300100,36,059,5187.0,4841.0,51.0,93.0
300800,36,059,4202.0,2160.0,41.0,351.0
301102,36,059,4635.0,3618.0,12.0,658.0
302101,36,059,4429.0,3535.0,42.0,175.0
302300,36,059,4547.0,2340.0,65.0,55.0
304001,36,059,2410.0,1799.0,22.0,230.0
404400,36,059,5207.0,4583.0,0.0,424.0
404902,36,059,5387.0,350.0,2976.0,1417.0
406400,36,059,7047.0,6702.0,0.0,259.0
409300,36,059,4364.0,3162.0,3.0,943.0
411800,36,059,6160.0,5013.0,257.0,631.0
413002,36,059,3991.0,3306.0,14.0,649.0
413900,36,059,7159.0,100.0,3571.0,3454.0
414001,36,059,4070.0,91.0,2929.0,944.0
414202,36,059,4156.0,351.0,1578.0,2172.0
414700,36,059,4607.0,3819.0,55.0,393.0
415201,36,059,3332.0,2784.0,195.0,122.0
415802,36,059,6744.0,6168.0,4.0,420.0
517400,36,059,5051.0,4405.0,72.0,458.0
517705,36,059,3079.0,2354.0,0.0,274.0
520900,36,059,4866.0,4570.0,0.0,208.0
518800,36,059,3575.0,2155.0,0.0,109.0
518900,36,059,6736.0,2807.0,773.0,952.0
519500,36,059,6260.0,3866.0,4.0,652.0
300500,36,059,5396.0,4695.0,19.0,146.0
301400,36,059,2045.0,1624.0,0.0,165.0
301800,36,059,5141.0,2774.0,699.0,831.0
302501,36,059,2682.0,1859.0,0.0,81.0
302700,36,059,4588.0,1777.0,8.0,339.0
302800,36,059,6616.0,2968.0,172.0,960.0
302900,36,059,4522.0,3127.0,39.0,302.0
301101,36,059,6620.0,3379.0,47.0,1645.0
302102,36,059,3702.0,3130.0,3.0,244.0
303302,36,059,4238.0,3319.0,131.0,540.0
303800,36,059,4867.0,3302.0,45.0,838.0
405100,36,059,8461.0,974.0,5000.0,1532.0
405800,36,059,4322.0,3634.0,7.0,364.0
406600,36,059,4101.0,3647.0,0.0,168.0
406900,36,059,6939.0,252.0,3125.0,3243.0
407000,36,059,7995.0,181.0,4266.0,3441.0
408000,36,059,5855.0,4304.0,447.0,323.0
409100,36,059,5026.0,3715.0,18.0,843.0
410800,36,059,4607.0,2324.0,649.0,770.0
411200,36,059,6661.0,5170.0,100.0,1267.0
517101,36,059,4986.0,2882.0,457.0,1197.0
411302,36,059,7122.0,6611.0,73.0,371.0
411901,36,059,3681.0,2371.0,53.0,1039.0
413803,36,059,3970.0,1402.0,1127.0,1185.0
415202,36,059,3949.0,3530.0,7.0,264.0
415600,36,059,5448.0,4956.0,19.0,267.0
517102,36,059,2320.0,1620.0,83.0,457.0
517701,36,059,7644.0,5406.0,210.0,195.0
518100,36,059,2902.0,2526.0,66.0,173.0
519802,36,059,5319.0,4183.0,73.0,235.0
519900,36,059,5505.0,4730.0,65.0,281.0
520401,36,059,4255.0,3155.0,83.0,665.0
520200,36,059,3206.0,2525.0,2.0,298.0
518201,36,059,4417.0,3690.0,113.0,245.0
519200,36,059,6430.0,3596.0,11.0,902.0
519703,36,059,3417.0,2487.0,17.0,182.0
519801,36,059,2536.0,1859.0,0.0,218.0
520002,36,059,4482.0,3327.0,90.0,701.0
520800,36,059,3885.0,3497.0,22.0,303.0
521200,36,059,2930.0,2693.0,120.0,70.0
521700,36,059,4690.0,4110.0,14.0,519.0
521801,36,059,3853.0,3298.0,5.0,469.0
300700,36,059,6212.0,4120.0,219.0,603.0
302000,36,059,4897.0,4004.0,23.0,245.0
302400,36,059,5254.0,3353.0,1.0,495.0
303000,36,059,5793.0,2056.0,12.0,1249.0
303900,36,059,4235.0,1214.0,2022.0,472.0
404600,36,059,4428.0,3743.0,32.0,421.0
404901,36,059,5710.0,375.0,3798.0,661.0
406001,36,059,4911.0,2970.0,362.0,1066.0
518501,36,059,6909.0,4327.0,96.0,158.0
518000,36,059,6176.0,4708.0,186.0,643.0
518400,36,059,4234.0,2841.0,67.0,141.0
519400,36,059,4295.0,2924.0,0.0,615.0
301000,36,059,5698.0,4826.0,80.0,244.0
301200,36,059,5759.0,4777.0,27.0,477.0
301700,36,059,2719.0,2288.0,0.0,97.0
303301,36,059,3056.0,2192.0,1.0,79.0
303400,36,059,2576.0,2069.0,23.0,171.0
303600,36,059,7225.0,4017.0,228.0,2091.0
404500,36,059,3970.0,3164.0,35.0,412.0
407201,36,059,5197.0,20.0,1541.0,3586.0
407301,36,059,7265.0,4535.0,1015.0,902.0
410400,36,059,4932.0,889.0,2150.0,952.0
407502,36,059,5471.0,288.0,2601.0,2343.0
408800,36,059,6724.0,4973.0,139.0,976.0
409700,36,059,4160.0,3536.0,11.0,517.0
518204,36,059,4185.0,3444.0,87.0,72.0
518700,36,059,5812.0,3925.0,20.0,188.0
520501,36,059,3843.0,2926.0,0.0,631.0
521100,36,059,4842.0,4535.0,0.0,285.0
521301,36,059,2101.0,1929.0,11.0,147.0
521802,36,059,4081.0,3524.0,21.0,408.0
409800,36,059,5831.0,305.0,4322.0,500.0
408200,36,059,6289.0,3802.0,68.0,1342.0
408500,36,059,6460.0,5341.0,67.0,547.0
409500,36,059,3814.0,3143.0,0.0,431.0
412100,36,059,6301.0,4999.0,208.0,767.0
411400,36,059,6612.0,5398.0,384.0,611.0
412302,36,059,3624.0,2697.0,200.0,595.0
412500,36,059,4165.0,3968.0,54.0,143.0
413300,36,059,6460.0,5761.0,0.0,544.0
413804,36,059,3720.0,1915.0,1000.0,518.0
414502,36,059,4112.0,2287.0,484.0,964.0
415401,36,059,5353.0,4832.0,18.0,400.0
416500,36,059,6308.0,2596.0,1640.0,1297.0
410900,36,059,6930.0,2103.0,2337.0,926.0
411100,36,059,4394.0,876.0,1234.0,2113.0
411600,36,059,6535.0,6291.0,23.0,84.0
412700,36,059,3915.0,3385.0,143.0,251.0
415000,36,059,5335.0,4648.0,40.0,375.0
413001,36,059,3988.0,3447.0,90.0,273.0
413100,36,059,5151.0,4023.0,65.0,728.0
414501,36,059,5262.0,2660.0,1269.0,1050.0
415300,36,059,6011.0,4908.0,216.0,459.0
416300,36,059,3369.0,3038.0,21.0,224.0
303101,36,059,3594.0,1478.0,95.0,312.0
406202,36,059,6317.0,197.0,4739.0,1023.0
408700,36,059,4848.0,3468.0,1.0,665.0
413500,36,059,7929.0,2510.0,2648.0,2299.0
416201,36,059,3410.0,2578.0,115.0,573.0
517901,36,059,4870.0,4397.0,5.0,275.0
416202,36,059,4807.0,2927.0,12.0,1717.0
414201,36,059,5072.0,786.0,1202.0,2785.0
415102,36,059,4828.0,4450.0,56.0,272.0
416900,36,059,4023.0,3846.0,7.0,145.0
517200,36,059,8078.0,2569.0,1343.0,3200.0
517302,36,059,5210.0,3347.0,121.0,1214.0
519000,36,059,6758.0,3815.0,200.0,1005.0
519300,36,059,5965.0,3016.0,78.0,881.0
519601,36,059,4250.0,3242.0,7.0,138.0
520001,36,059,7228.0,5938.0,2.0,672.0
301500,36,059,2985.0,2544.0,0.0,129.0
302502,36,059,2710.0,1908.0,87.0,53.0
303102,36,059,4074.0,1709.0,0.0,140.0
303202,36,059,4204.0,1629.0,23.0,984.0
407302,36,059,4388.0,747.0,1527.0,1765.0
407401,36,059,6097.0,585.0,2282.0,3205.0
407600,36,059,5471.0,3363.0,72.0,1138.0
407700,36,059,4958.0,3229.0,7.0,1056.0
414301,36,059,4122.0,812.0,1173.0,1765.0
414600,36,059,3728.0,3122.0,154.0,291.0
407402,36,059,3580.0,436.0,1345.0,1441.0
414800,36,059,6676.0,5793.0,92.0,329.0
520600,36,059,5879.0,4187.0,116.0,1070.0
521601,36,059,4148.0,3888.0,20.0,128.0
407802,36,059,1775.0,699.0,647.0,347.0
521000,36,059,4883.0,4543.0,0.0,172.0
519602,36,059,1983.0,1620.0,0.0,30.0
300600,36,059,6380.0,4293.0,38.0,143.0
303700,36,059,7047.0,5582.0,203.0,762.0
406201,36,059,3058.0,964.0,535.0,1299.0
410100,36,059,5762.0,4567.0,357.0,347.0
411902,36,059,3889.0,2929.0,61.0,721.0
416701,36,059,4247.0,3121.0,30.0,840.0
414900,36,059,7133.0,5517.0,89.0,817.0
518300,36,059,5938.0,3893.0,11.0,554.0
413600,36,059,5663.0,2469.0,1116.0,1686.0
519100,36,059,6205.0,3037.0,169.0,806.0
520700,36,059,4975.0,4515.0,157.0,155.0
522000,36,059,6214.0,3030.0,2134.0,827.0
410700,36,059,6158.0,3033.0,1222.0,580.0
412900,36,059,6384.0,1010.0,3876.0,1015.0
413400,36,059,5604.0,4895.0,61.0,535.0
415500,36,059,2517.0,2132.0,29.0,275.0
517301,36,059,3266.0,2029.0,162.0,835.0
520300,36,059,6000.0,5017.0,28.0,573.0
407102,36,059,6883.0,103.0,3720.0,2913.0
518600,36,059,4198.0,2780.0,0.0,59.0
409400,36,059,4184.0,3384.0,50.0,644.0
412200,36,059,5115.0,4422.0,86.0,440.0
414002,36,059,5000.0,29.0,2828.0,2024.0
521400,36,059,6462.0,6004.0,7.0,192.0
301900,36,059,2997.0,2527.0,0.0,54.0
304202,36,059,3870.0,688.0,1047.0,1940.0
406002,36,059,3580.0,2311.0,328.0,489.0
302200,36,059,3921.0,1766.0,419.0,845.0
408400,36,059,3897.0,2854.0,320.0,391.0
408600,36,059,4717.0,3165.0,160.0,960.0
408900,36,059,5960.0,4187.0,72.0,992.0
409600,36,059,5125.0,4304.0,0.0,539.0
410000,36,059,4185.0,1496.0,1059.0,595.0
410300,36,059,6979.0,1408.0,2351.0,1926.0
411301,36,059,3733.0,2803.0,277.0,329.0
411500,36,059,2667.0,2415.0,63.0,61.0
415101,36,059,2522.0,2088.0,195.0,148.0
415402,36,059,4366.0,3929.0,9.0,268.0
415700,36,059,5886.0,5216.0,51.0,487.0
416100,36,059,6312.0,5691.0,3.0,410.0
416600,36,059,5517.0,4512.0,139.0,581.0
517500,36,059,3977.0,3292.0,129.0,240.0
517600,36,059,4983.0,4152.0,117.0,558.0
517802,36,059,3173.0,2561.0,126.0,271.0
517902,36,059,2718.0,2448.0,16.0,140.0
303201,36,059,3877.0,1202.0,199.0,339.0
304100,36,059,4318.0,531.0,1242.0,1995.0
404300,36,059,3233.0,1622.0,46.0,765.0
405000,36,059,5396.0,834.0,1538.0,1619.0
405301,36,059,3854.0,2367.0,169.0,876.0
405500,36,059,5283.0,3763.0,136.0,829.0
406501,36,059,6797.0,5879.0,280.0,362.0
407101,36,059,5319.0,267.0,2880.0,1800.0
407801,36,059,5404.0,3569.0,253.0,688.0
408100,36,059,6434.0,4103.0,73.0,1245.0
408300,36,059,6987.0,4450.0,493.0,766.0
300300,36,059,4163.0,2962.0,82.0,618.0
300400,36,059,6040.0,4956.0,0.0,559.0
300900,36,059,8741.0,5079.0,385.0,212.0
301300,36,059,4594.0,2197.0,287.0,1490.0
304002,36,059,4438.0,2027.0,606.0,1241.0
301600,36,059,4795.0,3478.0,39.0,323.0
302600,36,059,2604.0,1611.0,59.0,356.0
303500,36,059,4860.0,3459.0,11.0,718.0
404700,36,059,6244.0,3587.0,93.0,1228.0
404800,36,059,6367.0,1081.0,2466.0,1539.0
405200,36,059,6693.0,1521.0,1589.0,1426.0
405302,36,059,4703.0,3367.0,11.0,896.0
405400,36,059,9124.0,3843.0,277.0,2828.0
405600,36,059,4497.0,3386.0,50.0,489.0
405700,36,059,4868.0,3196.0,65.0,1046.0
405900,36,059,5299.0,3413.0,656.0,848.0
406100,36,059,3268.0,2145.0,338.0,652.0
406300,36,059,3576.0,3177.0,17.0,215.0
407501,36,059,5027.0,180.0,2159.0,2575.0
407900,36,059,5938.0,4285.0,523.0,561.0
409000,36,059,5912.0,4314.0,82.0,1038.0
409200,36,059,5990.0,4375.0,3.0,1156.0
410200,36,059,3648.0,2496.0,241.0,472.0
412000,36,059,5822.0,3251.0,189.0,1993.0
519702,36,059,5301.0,4469.0,85.0,220.0
520402,36,059,4587.0,3469.0,247.0,425.0
520502,36,059,5231.0,4656.0,12.0,337.0
409900,36,059,9186.0,1197.0,3801.0,2253.0
410500,36,059,7196.0,1861.0,2095.0,1569.0
410600,36,059,7737.0,2140.0,1371.0,2819.0
411000,36,059,5410.0,2009.0,705.0,2456.0
411700,36,059,6484.0,4717.0,170.0,850.0
412301,36,059,3452.0,2325.0,65.0,836.0
412600,36,059,3821.0,3536.0,10.0,130.0
412800,36,059,3123.0,2052.0,350.0,592.0
413700,36,059,5158.0,2508.0,1064.0,1331.0
414400,36,059,5219.0,477.0,1465.0,3179.0
412400,36,059,5465.0,3499.0,960.0,760.0
413200,36,059,5991.0,5061.0,1.0,819.0
414100,36,059,7123.0,812.0,3433.0,2537.0
416000,36,059,4064.0,3678.0,0.0,351.0
416702,36,059,4213.0,3283.0,129.0,429.0
517000,36,059,3366.0,2350.0,130.0,518.0
517801,36,059,3735.0,3319.0,0.0,163.0
518502,36,059,2846.0,1317.0,112.0,168.0
147004,36,103,108.0,106.0,0.0,0.0
135208,36,103,3089.0,2779.0,31.0,167.0
146106,36,103,4934.0,707.0,745.0,3308.0
135209,36,103,3020.0,2594.0,0.0,184.0
158010,36,103,3328.0,2750.0,121.0,115.0
147003,36,103,4853.0,3900.0,44.0,665.0
146201,36,103,5516.0,899.0,705.0,3791.0
135402,36,103,6885.0,5895.0,117.0,635.0
146002,36,103,5657.0,890.0,587.0,3896.0
158319,36,103,3577.0,2369.0,217.0,577.0
146606,36,103,6948.0,6171.0,148.0,629.0
158001,36,103,4221.0,3497.0,24.0,170.0
158202,36,103,7808.0,5839.0,227.0,1194.0
158407,36,103,5556.0,4707.0,0.0,492.0
158900,36,103,7751.0,4510.0,429.0,2236.0
201004,36,103,3655.0,3031.0,25.0,520.0
111506,36,103,3592.0,1945.0,659.0,450.0
112104,36,103,2306.0,1480.0,111.0,145.0
122707,36,103,3073.0,2450.0,0.0,483.0
