tract,state,county,pop_total,pop_white,pop_black,pop_hispanic
135002,36,103,5337.0,4331.0,27.0,404.0
111202,36,103,4973.0,3024.0,203.0,1473.0
112204,36,103,3935.0,3232.0,74.0,203.0
146402,36,103,3934.0,3211.0,119.0,455.0
158321,36,103,10138.0,6518.0,1131.0,1330.0
190704,36,103,3301.0,2073.0,260.0,833.0
146607,36,103,2345.0,1789.0,70.0,393.0
158712,36,103,7981.0,4955.0,479.0,2419.0
159407,36,103,7097.0,5099.0,515.0,1166.0
134907,36,103,4276.0,3663.0,84.0,387.0
135201,36,103,2128.0,1936.0,1.0,42.0
135204,36,103,4661.0,4388.0,0.0,121.0
135205,36,103,5220.0,4552.0,49.0,224.0
146500,36,103,5529.0,4329.0,85.0,892.0
146705,36,103,3108.0,2679.0,111.0,300.0
146706,36,103,2550.0,2202.0,76.0,157.0
147803,36,103,3033.0,2851.0,19.0,106.0
158007,36,103,8938.0,2855.0,740.0,821.0
158111,36,103,3231.0,2320.0,192.0,536.0
158112,36,103,4269.0,3035.0,384.0,593.0
158116,36,103,2048.0,1285.0,246.0,402.0
158317,36,103,6257.0,5381.0,0.0,483.0
158318,36,103,3991.0,3442.0,54.0,413.0
158401,36,103,1226.0,1034.0,38.0,104.0
158508,36,103,6358.0,4726.0,266.0,913.0
158511,36,103,6719.0,4659.0,101.0,1680.0
158512,36,103,3659.0,3401.0,2.0,213.0
158604,36,103,4836.0,3915.0,71.0,554.0
158609,36,103,4956.0,3612.0,252.0,616.0
158705,36,103,3667.0,687.0,1757.0,1038.0
158708,36,103,3492.0,2147.0,733.0,411.0
147001,36,103,4516.0,3821.0,0.0,592.0
147100,36,103,3069.0,2643.0,73.0,217.0
147300,36,103,8518.0,2634.0,2295.0,3357.0
147502,36,103,6303.0,5819.0,11.0,404.0
158002,36,103,5698.0,4633.0,11.0,341.0
158104,36,103,5321.0,4408.0,287.0,324.0
147702,36,103,4806.0,4411.0,27.0,221.0
158115,36,103,7019.0,5375.0,392.0,682.0
158207,36,103,4508.0,3726.0,48.0,239.0
158304,36,103,6957.0,5745.0,24.0,1017.0
158502,36,103,3585.0,3001.0,54.0,426.0
158608,36,103,4021.0,2384.0,298.0,743.0
158802,36,103,4882.0,4426.0,7.0,446.0
159103,36,103,6052.0,1337.0,1926.0,2621.0
159106,36,103,7099.0,4011.0,1100.0,1605.0
159300,36,103,2008.0,1834.0,21.0,29.0
159601,36,103,6325.0,5891.0,12.0,333.0
190707,36,103,5367.0,4256.0,245.0,554.0
169800,36,103,6280.0,2965.0,868.0,2263.0
170101,36,103,1945.0,1258.0,338.0,316.0
190401,36,103,8541.0,3893.0,1548.0,2812.0
110401,36,103,2282.0,2186.0,4.0,59.0
110600,36,103,7348.0,6811.0,140.0,283.0
111100,36,103,8123.0,2571.0,772.0,4322.0
111503,36,103,4473.0,3471.0,271.0,541.0
135301,36,103,3592.0,3149.0,19.0,178.0
135304,36,103,3366.0,3117.0,57.0,33.0
145602,36,103,6784.0,960.0,703.0,4949.0
145701,36,103,5057.0,3234.0,571.0,638.0
110300,36,103,4924.0,4403.0,83.0,312.0
111002,36,103,5592.0,1993.0,470.0,2748.0
111300,36,103,4260.0,4007.0,13.0,204.0
111504,36,103,1547.0,1317.0,28.0,121.0
122300,36,103,3882.0,2592.0,102.0,600.0
123402,36,103,6351.0,4507.0,373.0,1107.0
123801,36,103,3952.0,3034.0,119.0,700.0
124002,36,103,3194.0,2285.0,335.0,469.0
135005,36,103,3332.0,3011.0,14.0,256.0
135401,36,103,7008.0,6262.0,37.0,383.0
135403,36,103,4559.0,3601.0,116.0,607.0
145604,36,103,4560.0,760.0,696.0,2987.0
146204,36,103,7233.0,898.0,1131.0,5094.0
145804,36,103,3345.0,1474.0,351.0,998.0
145903,36,103,5626.0,3377.0,449.0,1515.0
146001,36,103,6183.0,1135.0,526.0,4368.0
146604,36,103,4332.0,2792.0,95.0,758.0
145808,36,103,2997.0,2378.0,85.0,173.0
145702,36,103,6852.0,1437.0,838.0,4367.0
145704,36,103,7436.0,1372.0,2006.0,3430.0
145803,36,103,4545.0,3652.0,48.0,570.0
145805,36,103,5768.0,4415.0,190.0,517.0
146103,36,103,4365.0,2823.0,257.0,1149.0
146615,36,103,4536.0,3671.0,134.0,390.0
146901,36,103,5267.0,4821.0,0.0,415.0
147402,36,103,3595.0,3289.0,0.0,253.0
147701,36,103,3497.0,3015.0,13.0,187.0
147802,36,103,3844.0,3452.0,1.0,215.0
147804,36,103,5633.0,5148.0,96.0,215.0
158102,36,103,4613.0,3202.0,111.0,1102.0
158205,36,103,1759.0,1564.0,0.0,147.0
158206,36,103,4044.0,3302.0,113.0,341.0
158308,36,103,8671.0,5279.0,630.0,2652.0
158310,36,103,4594.0,3628.0,122.0,723.0
158315,36,103,4565.0,3032.0,483.0,914.0
158320,36,103,6608.0,5219.0,627.0,751.0
158405,36,103,5020.0,4256.0,42.0,467.0
124101,36,103,4367.0,3321.0,68.0,886.0
110101,36,103,3676.0,3361.0,12.0,127.0
110801,36,103,1937.0,1812.0,3.0,51.0
111602,36,103,2675.0,2542.0,32.0,73.0
111801,36,103,6300.0,5026.0,240.0,422.0
111900,36,103,5338.0,4418.0,2.0,463.0
190705,36,103,3757.0,2388.0,12.0,825.0
146613,36,103,3959.0,3172.0,179.0,517.0
146703,36,103,4030.0,1976.0,355.0,1580.0
146704,36,103,2010.0,1788.0,0.0,154.0
122405,36,103,3420.0,565.0,1718.0,619.0
158506,36,103,2516.0,2249.0,6.0,187.0
158707,36,103,1796.0,1237.0,165.0,240.0
158711,36,103,5189.0,3991.0,476.0,433.0
110902,36,103,4731.0,1877.0,1042.0,1735.0
111703,36,103,3041.0,2563.0,9.0,275.0
112206,36,103,7661.0,6408.0,88.0,610.0
112212,36,103,3461.0,2508.0,143.0,190.0
122403,36,103,2381.0,455.0,1249.0,496.0
122501,36,103,4593.0,178.0,2677.0,1521.0
122801,36,103,5229.0,2117.0,1979.0,824.0
123002,36,103,4677.0,2901.0,334.0,1111.0
123202,36,103,9153.0,551.0,5274.0,2874.0
123301,36,103,7690.0,507.0,4085.0,2884.0
123600,36,103,3285.0,3113.0,39.0,53.0
123802,36,103,3664.0,2547.0,0.0,943.0
124102,36,103,3496.0,2761.0,48.0,612.0
124402,36,103,3445.0,3104.0,0.0,308.0
134702,36,103,5622.0,4712.0,139.0,179.0
134902,36,103,4614.0,4253.0,97.0,114.0
135102,36,103,4488.0,3812.0,0.0,312.0
110102,36,103,5164.0,4384.0,9.0,386.0
110901,36,103,2862.0,2478.0,20.0,234.0
111401,36,103,1306.0,989.0,62.0,147.0
111402,36,103,4538.0,3667.0,34.0,365.0
112102,36,103,3805.0,3026.0,162.0,205.0
112103,36,103,4688.0,3902.0,90.0,331.0
110402,36,103,3160.0,2938.0,0.0,113.0
124300,36,103,6655.0,4804.0,271.0,1047.0
134704,36,103,2438.0,2252.0,0.0,117.0
134903,36,103,1315.0,1050.0,20.0,241.0
201100,36,103,5904.0,1881.0,478.0,3142.0
145807,36,103,4219.0,3342.0,139.0,498.0
135101,36,103,4044.0,3165.0,140.0,374.0
111201,36,103,3996.0,1564.0,153.0,2213.0
111802,36,103,2990.0,2578.0,1.0,297.0
111804,36,103,2459.0,2172.0,38.0,159.0
122705,36,103,3037.0,1635.0,391.0,570.0
122901,36,103,6156.0,4452.0,39.0,1155.0
123102,36,103,3921.0,3203.0,85.0,505.0
123900,36,103,5823.0,4101.0,221.0,1181.0
124001,36,103,5000.0,3899.0,166.0,855.0
124601,36,103,2648.0,2279.0,6.0,297.0
134703,36,103,3683.0,3468.0,2.0,100.0
134904,36,103,6400.0,5178.0,63.0,394.0
135003,36,103,4486.0,4088.0,4.0,185.0
135103,36,103,4982.0,4378.0,122.0,151.0
145703,36,103,4492.0,1282.0,884.0,1874.0
145902,36,103,10193.0,1091.0,1968.0,6261.0
146205,36,103,2297.0,1981.0,104.0,143.0
146206,36,103,2172.0,1380.0,171.0,444.0
146800,36,103,6011.0,5391.0,0.0,469.0
147401,36,103,5492.0,4285.0,267.0,819.0
147501,36,103,7260.0,5871.0,295.0,943.0
147902,36,103,4044.0,3636.0,2.0,185.0
158006,36,103,6015.0,4923.0,96.0,281.0
158009,36,103,2542.0,2168.0,37.0,109.0
158107,36,103,4214.0,3256.0,70.0,388.0
159410,36,103,8010.0,6275.0,315.0,1142.0
158110,36,103,3358.0,2882.0,8.0,394.0
158306,36,103,6036.0,4943.0,87.0,692.0
180300,36,103,2744.0,2468.0,0.0,169.0
159602,36,103,4250.0,4030.0,48.0,48.0
170002,36,103,4137.0,3841.0,33.0,214.0
190403,36,103,3932.0,2563.0,36.0,1244.0
190708,36,103,1955.0,1801.0,0.0,71.0
111505,36,103,6852.0,3660.0,1091.0,1305.0
111704,36,103,3477.0,3168.0,0.0,229.0
112002,36,103,4629.0,3696.0,68.0,609.0
112210,36,103,7505.0,5448.0,313.0,398.0
112214,36,103,6276.0,4860.0,261.0,183.0
122502,36,103,5132.0,295.0,3337.0,1366.0
145603,36,103,6564.0,924.0,917.0,4431.0
145605,36,103,4078.0,787.0,541.0,2632.0
110502,36,103,2653.0,2564.0,21.0,10.0
145901,36,103,3359.0,1359.0,477.0,1363.0
146605,36,103,986.0,790.0,48.0,98.0
146614,36,103,5177.0,4670.0,52.0,285.0
110803,36,103,6093.0,5355.0,46.0,629.0
111001,36,103,2104.0,1655.0,53.0,265.0
111601,36,103,4311.0,3834.0,94.0,336.0
111701,36,103,5979.0,5268.0,29.0,534.0
111803,36,103,2848.0,2383.0,87.0,242.0
112001,36,103,5371.0,3930.0,101.0,913.0
112211,36,103,4588.0,3505.0,172.0,321.0
112213,36,103,5154.0,3142.0,243.0,401.0
159204,36,103,4008.0,3005.0,277.0,664.0
159406,36,103,4840.0,3521.0,294.0,824.0
159505,36,103,7816.0,5776.0,436.0,1539.0
147901,36,103,4348.0,3605.0,162.0,495.0
158103,36,103,4544.0,3100.0,92.0,1104.0
158203,36,103,1508.0,1228.0,29.0,117.0
158309,36,103,4594.0,2770.0,570.0,756.0
158402,36,103,4439.0,3629.0,54.0,675.0
158403,36,103,2130.0,1520.0,341.0,159.0
158509,36,103,4814.0,3491.0,258.0,712.0
158605,36,103,4767.0,3642.0,157.0,446.0
158704,36,103,8447.0,4452.0,1229.0,2591.0
158710,36,103,3866.0,2602.0,575.0,487.0
159105,36,103,7289.0,4862.0,209.0,1855.0
159404,36,103,6568.0,4100.0,936.0,1075.0
159408,36,103,4688.0,3033.0,331.0,1041.0
201003,36,103,3165.0,2194.0,201.0,736.0
170201,36,103,6117.0,5482.0,12.0,548.0
159506,36,103,9097.0,4461.0,1206.0,3328.0
169701,36,103,8034.0,7264.0,182.0,485.0
190502,36,103,2497.0,1888.0,28.0,440.0
122603,36,103,5742.0,3949.0,453.0,950.0
122902,36,103,4230.0,3806.0,20.0,235.0
123401,36,103,4233.0,2700.0,516.0,858.0
123500,36,103,6267.0,3943.0,999.0,1186.0
124500,36,103,5324.0,4096.0,41.0,392.0
124602,36,103,4117.0,3651.0,27.0,278.0
135104,36,103,5519.0,5093.0,33.0,195.0
158408,36,103,3965.0,3577.0,65.0,172.0
159203,36,103,5730.0,4842.0,216.0,549.0
158507,36,103,3952.0,2834.0,39.0,523.0
147602,36,103,4904.0,4508.0,74.0,308.0
158108,36,103,2866.0,1798.0,33.0,333.0
158505,36,103,4400.0,3540.0,74.0,331.0
158510,36,103,7168.0,5643.0,61.0,909.0
158606,36,103,4671.0,4103.0,13.0,371.0
158803,36,103,6648.0,4883.0,212.0,1105.0
159000,36,103,4647.0,2924.0,122.0,1511.0
159102,36,103,6721.0,4691.0,324.0,1453.0
159201,36,103,2897.0,2342.0,1.0,551.0
170001,36,103,5784.0,5203.0,10.0,489.0
170202,36,103,4164.0,3523.0,90.0,419.0
190402,36,103,2576.0,1948.0,127.0,466.0
159508,36,103,6654.0,5154.0,383.0,785.0
190601,36,103,4513.0,3737.0,18.0,491.0
201001,36,103,6912.0,5132.0,169.0,1214.0
158607,36,103,3312.0,2415.0,120.0,666.0
190706,36,103,4420.0,3465.0,277.0,507.0
190800,36,103,3263.0,2634.0,239.0,334.0
110501,36,103,2744.0,2456.0,9.0,167.0
110200,36,103,4946.0,4433.0,109.0,87.0
122802,36,103,3922.0,2376.0,475.0,874.0
124200,36,103,5173.0,4033.0,45.0,886.0
158114,36,103,3669.0,3085.0,18.0,363.0
122404,36,103,3683.0,2491.0,289.0,843.0
122602,36,103,4938.0,3033.0,157.0,1362.0
122704,36,103,2337.0,982.0,336.0,514.0
123001,36,103,5639.0,3746.0,383.0,928.0
123302,36,103,1874.0,87.0,1019.0,688.0
123701,36,103,7140.0,1494.0,962.0,4397.0
158709,36,103,2559.0,2332.0,45.0,134.0
158804,36,103,7561.0,5119.0,301.0,1819.0
159107,36,103,3752.0,2919.0,28.0,652.0
159108,36,103,7325.0,4873.0,384.0,1737.0
122406,36,103,5341.0,105.0,3178.0,1747.0
122601,36,103,5811.0,3262.0,854.0,965.0
122706,36,103,3646.0,2628.0,134.0,342.0
123101,36,103,3154.0,2526.0,91.0,452.0
123201,36,103,2261.0,566.0,680.0,870.0
123702,36,103,8960.0,4677.0,563.0,3400.0
146902,36,103,3687.0,3478.0,40.0,159.0
124401,36,103,3546.0,3102.0,62.0,317.0
134906,36,103,5985.0,5286.0,32.0,421.0
135004,36,103,3037.0,2588.0,114.0,189.0
135303,36,103,3945.0,3310.0,97.0,333.0
146003,36,103,9753.0,1666.0,2235.0,4952.0
146102,36,103,2872.0,367.0,493.0,1738.0
146105,36,103,6657.0,1232.0,669.0,4600.0
146202,36,103,4501.0,328.0,1728.0,2307.0
146203,36,103,4957.0,960.0,954.0,2819.0
146300,36,103,2172.0,1248.0,514.0,260.0
146403,36,103,4816.0,845.0,1366.0,2423.0
146404,36,103,3472.0,1163.0,782.0,1503.0
147200,36,103,6788.0,2862.0,1004.0,2654.0
146608,36,103,2706.0,1931.0,0.0,594.0
146611,36,103,3028.0,2424.0,322.0,161.0
146612,36,103,5072.0,4284.0,156.0,450.0
147503,36,103,1373.0,1283.0,0.0,86.0
147601,36,103,2327.0,2073.0,54.0,130.0
158011,36,103,4575.0,3596.0,7.0,403.0
158322,36,103,1930.0,1605.0,0.0,85.0
158323,36,103,6602.0,5800.0,4.0,547.0
158409,36,103,3989.0,3004.0,184.0,312.0
158410,36,103,3161.0,2976.0,87.0,98.0
159411,36,103,3451.0,2821.0,112.0,499.0
159412,36,103,8277.0,6573.0,408.0,920.0
159509,36,103,2980.0,2184.0,136.0,600.0
159510,36,103,173.0,88.0,0.0,77.0
159511,36,103,7615.0,4118.0,621.0,2124.0
159512,36,103,2319.0,1603.0,107.0,563.0
169703,36,103,1654.0,1460.0,19.0,130.0
169704,36,103,7039.0,5317.0,1037.0,363.0
169901,36,103,6388.0,4041.0,1198.0,1038.0
169902,36,103,4230.0,3617.0,204.0,369.0
190503,36,103,2838.0,2477.0,78.0,283.0
190504,36,103,1748.0,1674.0,14.0,26.0
190603,36,103,4962.0,2760.0,110.0,1994.0
190604,36,103,4321.0,3611.0,10.0,624.0
200901,36,103,1034.0,890.0,15.0,63.0
200902,36,103,7137.0,5095.0,138.0,1807.0
990100,36,103,0.0,0.0,0.0,0.0
